step,loss
10,10.745074272155762
20,9.257025718688965
30,8.657122611999512
40,8.566597938537598
50,8.190105438232422
60,7.7318806648254395
70,7.283991813659668
80,6.628556251525879
90,6.643858432769775
100,7.09912633895874
110,6.904002666473389
120,5.47556209564209
130,5.9407124519348145
140,6.280525207519531
150,5.4468817710876465
160,6.05767822265625
170,5.2475175857543945
180,6.2118940353393555
190,5.595844745635986
200,5.974869728088379
210,5.336862564086914
220,5.505746841430664
230,5.566324234008789
240,4.90138053894043
250,5.671101093292236
260,5.448911190032959
270,5.075643539428711
280,4.845366954803467
290,4.998653411865234
300,5.52889347076416
310,5.012705326080322
320,4.2932634353637695
330,5.218755722045898
340,4.6213765144348145
350,5.085287094116211
360,4.900426864624023
370,4.831902027130127
380,4.733259201049805
390,4.881637096405029
400,4.531849384307861
410,4.490157604217529
420,4.036888122558594
430,4.354915142059326
440,3.904359817504883
450,4.0179877281188965
460,4.163101673126221
470,4.1690263748168945
480,4.1937994956970215
490,4.4160685539245605
500,3.9243571758270264
510,4.181893825531006
520,4.505468845367432
530,4.153570175170898
540,4.0262064933776855
550,4.066362380981445
560,4.216301441192627
570,4.4731831550598145
580,3.9018421173095703
590,3.847451686859131
600,3.973799228668213
610,3.8006176948547363
620,4.380624294281006
630,3.6080431938171387
640,3.566845178604126
650,3.7071988582611084
660,3.715160846710205
670,3.9997339248657227
680,3.203162431716919
690,3.8559422492980957
700,3.3729352951049805
710,3.3995137214660645
720,3.2961466312408447
730,3.4862618446350098
740,3.7806103229522705
750,3.9707529544830322
760,3.3556668758392334
770,3.069732904434204
780,3.5251073837280273
790,2.7620818614959717
800,4.450916290283203
810,3.773308753967285
820,3.3170225620269775
830,2.9892194271087646
840,3.347712278366089
850,3.4337801933288574
860,3.5035362243652344
870,3.355999231338501
880,3.4120492935180664
890,3.087690591812134
900,2.730401039123535
910,2.81508731842041
920,2.303879737854004
930,2.5883214473724365
940,3.15649676322937
950,3.291531562805176
960,3.60193133354187
970,2.7645576000213623
980,3.0086781978607178
990,2.874521493911743
1000,2.5430715084075928
1010,3.3490989208221436
1020,2.4392004013061523
1030,2.6993579864501953
1040,2.816335439682007
1050,3.3329663276672363
1060,3.546921730041504
1070,3.0785229206085205
1080,2.833730936050415
1090,3.032382011413574
1100,2.5941593647003174
1110,3.4081079959869385
1120,3.139677047729492
1130,2.961829662322998
1140,2.745792865753174
1150,2.525660276412964
1160,2.955402135848999
1170,2.466149091720581
1180,3.241551637649536
1190,2.7436394691467285
1200,3.2114145755767822
1210,2.347111463546753
1220,3.3585853576660156
1230,2.8310904502868652
1240,2.6106715202331543
1250,2.911921977996826
1260,2.4004666805267334
1270,2.540153980255127
1280,2.7484028339385986
1290,2.902984857559204
1300,2.6998026371002197
1310,2.618375778198242
1320,2.639631986618042
1330,3.1323254108428955
1340,2.6843478679656982
1350,2.5984838008880615
1360,3.0079026222229004
1370,3.0353236198425293
1380,3.4067530632019043
1390,2.337782382965088
1400,2.6969096660614014
1410,2.8676609992980957
1420,2.4350857734680176
1430,2.3305277824401855
1440,2.317553758621216
1450,2.938680648803711
1460,2.8171639442443848
1470,2.6544554233551025
1480,2.8095085620880127
1490,2.9427521228790283
1500,2.4826035499572754
1510,2.4532010555267334
1520,2.2402045726776123
1530,2.305875778198242
1540,2.600738048553467
1550,2.734947681427002
1560,2.807969570159912
1570,2.428581476211548
1580,2.850031614303589
1590,2.377470016479492
1600,2.9165470600128174
1610,3.1160738468170166
1620,2.87367582321167
1630,2.918060779571533
1640,2.4653995037078857
1650,2.1043152809143066
1660,2.7541465759277344
1670,2.2646031379699707
1680,2.3489208221435547
1690,2.4631054401397705
1700,3.2402286529541016
1710,2.795903444290161
1720,1.7223445177078247
1730,2.326209306716919
1740,2.3222153186798096
1750,2.628110885620117
1760,2.367018461227417
1770,2.1681439876556396
1780,2.582056760787964
1790,3.16703200340271
1800,2.48679780960083
1810,2.586740016937256
1820,2.0591278076171875
1830,2.2609708309173584
1840,2.5599489212036133
1850,2.0374248027801514
1860,2.4104719161987305
1870,2.7264840602874756
1880,2.3487184047698975
1890,2.774418830871582
1900,2.507791757583618
1910,3.065699338912964
1920,2.565016984939575
1930,2.31541109085083
1940,2.4643049240112305
1950,2.112997055053711
1960,2.4835259914398193
1970,2.5034799575805664
1980,2.9593238830566406
1990,2.496713399887085
2000,2.7957065105438232
2010,2.713451862335205
2020,2.686594247817993
2030,2.5838708877563477
2040,2.5424487590789795
2050,2.376192569732666
2060,2.599368095397949
2070,2.240055799484253
2080,1.8415223360061646
2090,2.4690775871276855
2100,2.0156002044677734
2110,1.9841477870941162
2120,2.585200786590576
2130,2.068556070327759
2140,2.5537543296813965
2150,2.57258939743042
2160,2.833688735961914
2170,2.699760675430298
2180,2.2596189975738525
2190,2.529801368713379
2200,2.87233829498291
2210,2.3854269981384277
2220,2.4011669158935547
2230,1.9157729148864746
2240,2.6526620388031006
2250,2.202863931655884
2260,2.357252359390259
2270,2.5530781745910645
2280,2.72322154045105
2290,2.259639263153076
2300,1.7188432216644287
2310,2.0755558013916016
2320,1.9495254755020142
2330,1.598831295967102
2340,2.2936131954193115
2350,1.8688119649887085
2360,2.0487353801727295
2370,2.3207082748413086
2380,2.3399343490600586
2390,2.1689698696136475
2400,2.5753257274627686
2410,2.215471029281616
2420,2.0903663635253906
2430,2.6459052562713623
2440,2.923614501953125
2450,2.537895917892456
2460,2.1368837356567383
2470,2.526650905609131
2480,2.402819871902466
2490,1.6389899253845215
2500,2.152811050415039
2510,2.116956949234009
2520,1.6926286220550537
2530,2.7532732486724854
2540,2.3806846141815186
2550,1.9954575300216675
2560,1.4384100437164307
2570,2.0189151763916016
