[init] compiling model with torch.compile...
[init] model compiled, starting data generator...
[train] starting training loop, 150000 micro-steps
[data] epoch 4 complete, starting epoch 5
step   910 | loss 2.8151 | lr 6.00e-04 | 42042 tok/s
step   920 | loss 2.3039 | lr 6.00e-04 | 49542 tok/s
step   930 | loss 2.5883 | lr 6.00e-04 | 49530 tok/s
step   940 | loss 3.1565 | lr 6.00e-04 | 49536 tok/s
step   950 | loss 3.2915 | lr 6.00e-04 | 49538 tok/s
step   960 | loss 3.6019 | lr 6.00e-04 | 49534 tok/s
step   970 | loss 2.7646 | lr 6.00e-04 | 49539 tok/s
step   980 | loss 3.0087 | lr 5.99e-04 | 49535 tok/s
step   990 | loss 2.8745 | lr 5.99e-04 | 49536 tok/s
step  1000 | loss 2.5431 | lr 5.99e-04 | 49532 tok/s
step  1010 | loss 3.3491 | lr 5.99e-04 | 49532 tok/s
step  1020 | loss 2.4392 | lr 5.99e-04 | 49530 tok/s
step  1030 | loss 2.6994 | lr 5.99e-04 | 49532 tok/s
step  1040 | loss 2.8163 | lr 5.99e-04 | 49532 tok/s
step  1050 | loss 3.3330 | lr 5.99e-04 | 49532 tok/s
step  1060 | loss 3.5469 | lr 5.99e-04 | 49537 tok/s
step  1070 | loss 3.0785 | lr 5.99e-04 | 49535 tok/s
step  1080 | loss 2.8337 | lr 5.99e-04 | 49536 tok/s
[data] epoch 5 complete, starting epoch 6
step  1090 | loss 3.0324 | lr 5.99e-04 | 43426 tok/s
step  1100 | loss 2.5942 | lr 5.99e-04 | 49539 tok/s
step  1110 | loss 3.4081 | lr 5.99e-04 | 49540 tok/s
step  1120 | loss 3.1397 | lr 5.99e-04 | 49544 tok/s
step  1130 | loss 2.9618 | lr 5.99e-04 | 49534 tok/s
step  1140 | loss 2.7458 | lr 5.99e-04 | 49535 tok/s
step  1150 | loss 2.5257 | lr 5.99e-04 | 49536 tok/s
step  1160 | loss 2.9554 | lr 5.99e-04 | 49536 tok/s
step  1170 | loss 2.4661 | lr 5.99e-04 | 49533 tok/s
step  1180 | loss 3.2416 | lr 5.99e-04 | 49533 tok/s
step  1190 | loss 2.7436 | lr 5.98e-04 | 49533 tok/s
step  1200 | loss 3.2114 | lr 5.98e-04 | 49535 tok/s
step  1210 | loss 2.3471 | lr 5.98e-04 | 49532 tok/s
step  1220 | loss 3.3586 | lr 5.98e-04 | 49527 tok/s
step  1230 | loss 2.8311 | lr 5.98e-04 | 49532 tok/s
step  1240 | loss 2.6107 | lr 5.98e-04 | 49538 tok/s
step  1250 | loss 2.9119 | lr 5.98e-04 | 49537 tok/s
step  1260 | loss 2.4005 | lr 5.98e-04 | 49536 tok/s
[data] epoch 6 complete, starting epoch 7
step  1270 | loss 2.5402 | lr 5.98e-04 | 42778 tok/s
step  1280 | loss 2.7484 | lr 5.98e-04 | 49532 tok/s
step  1290 | loss 2.9030 | lr 5.98e-04 | 49529 tok/s
step  1300 | loss 2.6998 | lr 5.98e-04 | 49531 tok/s
step  1310 | loss 2.6184 | lr 5.98e-04 | 49537 tok/s
step  1320 | loss 2.6396 | lr 5.98e-04 | 49534 tok/s
step  1330 | loss 3.1323 | lr 5.97e-04 | 49538 tok/s
step  1340 | loss 2.6843 | lr 5.97e-04 | 49532 tok/s
step  1350 | loss 2.5985 | lr 5.97e-04 | 49535 tok/s
step  1360 | loss 3.0079 | lr 5.97e-04 | 49533 tok/s
step  1370 | loss 3.0353 | lr 5.97e-04 | 49537 tok/s
step  1380 | loss 3.4068 | lr 5.97e-04 | 49466 tok/s
step  1390 | loss 2.3378 | lr 5.97e-04 | 49533 tok/s
step  1400 | loss 2.6969 | lr 5.97e-04 | 49532 tok/s
step  1410 | loss 2.8677 | lr 5.97e-04 | 49530 tok/s
step  1420 | loss 2.4351 | lr 5.97e-04 | 49529 tok/s
step  1430 | loss 2.3305 | lr 5.97e-04 | 49526 tok/s
step  1440 | loss 2.3176 | lr 5.96e-04 | 49526 tok/s
[data] epoch 7 complete, starting epoch 8
step  1450 | loss 2.9387 | lr 5.96e-04 | 43109 tok/s
step  1460 | loss 2.8172 | lr 5.96e-04 | 49526 tok/s
step  1470 | loss 2.6545 | lr 5.96e-04 | 49532 tok/s
step  1480 | loss 2.8095 | lr 5.96e-04 | 49534 tok/s
step  1490 | loss 2.9428 | lr 5.96e-04 | 49545 tok/s
step  1500 | loss 2.4826 | lr 5.96e-04 | 49541 tok/s
step  1510 | loss 2.4532 | lr 5.96e-04 | 49539 tok/s
step  1520 | loss 2.2402 | lr 5.96e-04 | 49538 tok/s
step  1530 | loss 2.3059 | lr 5.96e-04 | 49534 tok/s
step  1540 | loss 2.6007 | lr 5.95e-04 | 49535 tok/s
step  1550 | loss 2.7349 | lr 5.95e-04 | 49534 tok/s
step  1560 | loss 2.8080 | lr 5.95e-04 | 49536 tok/s
step  1570 | loss 2.4286 | lr 5.95e-04 | 49539 tok/s
step  1580 | loss 2.8500 | lr 5.95e-04 | 49537 tok/s
step  1590 | loss 2.3775 | lr 5.95e-04 | 49539 tok/s
step  1600 | loss 2.9165 | lr 5.95e-04 | 49541 tok/s
step  1610 | loss 3.1161 | lr 5.95e-04 | 49540 tok/s
step  1620 | loss 2.8737 | lr 5.95e-04 | 49539 tok/s
[data] epoch 8 complete, starting epoch 9
step  1630 | loss 2.9181 | lr 5.94e-04 | 42597 tok/s
step  1640 | loss 2.4654 | lr 5.94e-04 | 49545 tok/s
step  1650 | loss 2.1043 | lr 5.94e-04 | 49532 tok/s
step  1660 | loss 2.7541 | lr 5.94e-04 | 49530 tok/s
step  1670 | loss 2.2646 | lr 5.94e-04 | 49532 tok/s
step  1680 | loss 2.3489 | lr 5.94e-04 | 49529 tok/s
step  1690 | loss 2.4631 | lr 5.94e-04 | 49535 tok/s
step  1700 | loss 3.2402 | lr 5.94e-04 | 49535 tok/s
step  1710 | loss 2.7959 | lr 5.93e-04 | 49534 tok/s
step  1720 | loss 1.7223 | lr 5.93e-04 | 49531 tok/s
step  1730 | loss 2.3262 | lr 5.93e-04 | 49528 tok/s
step  1740 | loss 2.3222 | lr 5.93e-04 | 49533 tok/s
step  1750 | loss 2.6281 | lr 5.93e-04 | 49536 tok/s
step  1760 | loss 2.3670 | lr 5.93e-04 | 49533 tok/s
step  1770 | loss 2.1681 | lr 5.93e-04 | 49530 tok/s
step  1780 | loss 2.5821 | lr 5.92e-04 | 49533 tok/s
step  1790 | loss 3.1670 | lr 5.92e-04 | 49533 tok/s
step  1800 | loss 2.4868 | lr 5.92e-04 | 49525 tok/s
[data] epoch 9 complete, starting epoch 10
step  1810 | loss 2.5867 | lr 5.92e-04 | 42265 tok/s
step  1820 | loss 2.0591 | lr 5.92e-04 | 49541 tok/s
step  1830 | loss 2.2610 | lr 5.92e-04 | 49529 tok/s
step  1840 | loss 2.5599 | lr 5.92e-04 | 49530 tok/s
step  1850 | loss 2.0374 | lr 5.91e-04 | 49527 tok/s
step  1860 | loss 2.4105 | lr 5.91e-04 | 49525 tok/s
step  1870 | loss 2.7265 | lr 5.91e-04 | 49533 tok/s
step  1880 | loss 2.3487 | lr 5.91e-04 | 49532 tok/s
step  1890 | loss 2.7744 | lr 5.91e-04 | 49530 tok/s
step  1900 | loss 2.5078 | lr 5.91e-04 | 49533 tok/s
step  1910 | loss 3.0657 | lr 5.91e-04 | 49530 tok/s
step  1920 | loss 2.5650 | lr 5.90e-04 | 49533 tok/s
step  1930 | loss 2.3154 | lr 5.90e-04 | 49534 tok/s
step  1940 | loss 2.4643 | lr 5.90e-04 | 49533 tok/s
step  1950 | loss 2.1130 | lr 5.90e-04 | 49531 tok/s
step  1960 | loss 2.4835 | lr 5.90e-04 | 49530 tok/s
step  1970 | loss 2.5035 | lr 5.90e-04 | 49533 tok/s
step  1980 | loss 2.9593 | lr 5.89e-04 | 49530 tok/s
step  1990 | loss 2.4967 | lr 5.89e-04 | 49532 tok/s
[data] epoch 10 complete, starting epoch 11
step  2000 | loss 2.7957 | lr 5.89e-04 | 42269 tok/s
step  2010 | loss 2.7135 | lr 5.89e-04 | 49531 tok/s
step  2020 | loss 2.6866 | lr 5.89e-04 | 49527 tok/s
step  2030 | loss 2.5839 | lr 5.89e-04 | 49533 tok/s
step  2040 | loss 2.5424 | lr 5.88e-04 | 49535 tok/s
step  2050 | loss 2.3762 | lr 5.88e-04 | 49542 tok/s
step  2060 | loss 2.5994 | lr 5.88e-04 | 49543 tok/s
step  2070 | loss 2.2401 | lr 5.88e-04 | 49543 tok/s
step  2080 | loss 1.8415 | lr 5.88e-04 | 49543 tok/s
step  2090 | loss 2.4691 | lr 5.88e-04 | 49541 tok/s
step  2100 | loss 2.0156 | lr 5.87e-04 | 49543 tok/s
step  2110 | loss 1.9841 | lr 5.87e-04 | 49541 tok/s
step  2120 | loss 2.5852 | lr 5.87e-04 | 49539 tok/s
step  2130 | loss 2.0686 | lr 5.87e-04 | 49538 tok/s
step  2140 | loss 2.5538 | lr 5.87e-04 | 49540 tok/s
step  2150 | loss 2.5726 | lr 5.86e-04 | 49537 tok/s
step  2160 | loss 2.8337 | lr 5.86e-04 | 49536 tok/s
step  2170 | loss 2.6998 | lr 5.86e-04 | 49537 tok/s
[data] epoch 11 complete, starting epoch 12
step  2180 | loss 2.2596 | lr 5.86e-04 | 42743 tok/s
step  2190 | loss 2.5298 | lr 5.86e-04 | 49539 tok/s
step  2200 | loss 2.8723 | lr 5.85e-04 | 49537 tok/s
step  2210 | loss 2.3854 | lr 5.85e-04 | 49538 tok/s
step  2220 | loss 2.4012 | lr 5.85e-04 | 49539 tok/s
step  2230 | loss 1.9158 | lr 5.85e-04 | 49538 tok/s
step  2240 | loss 2.6527 | lr 5.85e-04 | 49541 tok/s
step  2250 | loss 2.2029 | lr 5.85e-04 | 49542 tok/s
step  2260 | loss 2.3573 | lr 5.84e-04 | 49543 tok/s
step  2270 | loss 2.5531 | lr 5.84e-04 | 49543 tok/s
step  2280 | loss 2.7232 | lr 5.84e-04 | 49474 tok/s
step  2290 | loss 2.2596 | lr 5.84e-04 | 49542 tok/s
step  2300 | loss 1.7188 | lr 5.84e-04 | 49544 tok/s
step  2310 | loss 2.0756 | lr 5.83e-04 | 49544 tok/s
step  2320 | loss 1.9495 | lr 5.83e-04 | 49543 tok/s
step  2330 | loss 1.5988 | lr 5.83e-04 | 49540 tok/s
step  2340 | loss 2.2936 | lr 5.83e-04 | 49537 tok/s
step  2350 | loss 1.8688 | lr 5.82e-04 | 49538 tok/s
[data] epoch 12 complete, starting epoch 13
step  2360 | loss 2.0487 | lr 5.82e-04 | 42553 tok/s
step  2370 | loss 2.3207 | lr 5.82e-04 | 49529 tok/s
step  2380 | loss 2.3399 | lr 5.82e-04 | 49529 tok/s
step  2390 | loss 2.1690 | lr 5.82e-04 | 49526 tok/s
step  2400 | loss 2.5753 | lr 5.81e-04 | 49532 tok/s
step  2410 | loss 2.2155 | lr 5.81e-04 | 49538 tok/s
step  2420 | loss 2.0904 | lr 5.81e-04 | 49539 tok/s
step  2430 | loss 2.6459 | lr 5.81e-04 | 49538 tok/s
step  2440 | loss 2.9236 | lr 5.81e-04 | 49541 tok/s
step  2450 | loss 2.5379 | lr 5.80e-04 | 49541 tok/s
step  2460 | loss 2.1369 | lr 5.80e-04 | 49542 tok/s
step  2470 | loss 2.5267 | lr 5.80e-04 | 49541 tok/s
step  2480 | loss 2.4028 | lr 5.80e-04 | 49540 tok/s
step  2490 | loss 1.6390 | lr 5.79e-04 | 49536 tok/s
step  2500 | loss 2.1528 | lr 5.79e-04 | 49541 tok/s
step  2510 | loss 2.1170 | lr 5.79e-04 | 49543 tok/s
step  2520 | loss 1.6926 | lr 5.79e-04 | 49537 tok/s
step  2530 | loss 2.7533 | lr 5.78e-04 | 49537 tok/s
[data] epoch 13 complete, starting epoch 14
step  2540 | loss 2.3807 | lr 5.78e-04 | 42326 tok/s
step  2550 | loss 1.9955 | lr 5.78e-04 | 49542 tok/s
step  2560 | loss 1.4384 | lr 5.78e-04 | 49539 tok/s
step  2570 | loss 2.0189 | lr 5.78e-04 | 49541 tok/s
step  2580 | loss 1.9912 | lr 5.77e-04 | 49539 tok/s
step  2590 | loss 2.1434 | lr 5.77e-04 | 49538 tok/s
step  2600 | loss 1.8312 | lr 5.77e-04 | 49536 tok/s
step  2610 | loss 2.1157 | lr 5.77e-04 | 49538 tok/s
step  2620 | loss 2.4461 | lr 5.76e-04 | 49541 tok/s
step  2630 | loss 1.9683 | lr 5.76e-04 | 49538 tok/s
step  2640 | loss 2.4043 | lr 5.76e-04 | 49536 tok/s
step  2650 | loss 1.6178 | lr 5.76e-04 | 49540 tok/s
step  2660 | loss 2.5896 | lr 5.75e-04 | 49541 tok/s
step  2670 | loss 1.8001 | lr 5.75e-04 | 49541 tok/s
